census region,housing types,year,value
68,28,2016,-0.0296685210525
68,29,2000,0.0553461156095
68,29,2001,0.0484863473977
68,29,2002,0.0418028853329
68,29,2003,0.0352902201372
68,29,2004,0.0289741759006
68,29,2005,0.0228626244268
68,29,2006,0.0169325870016
68,29,2007,0.0112059511126
68,29,2008,0.00555626416083
68,29,2009,0.0
68,29,2010,-0.00544561383033
68,29,2011,-0.0108043102381
68,29,2012,-0.0160162059923
68,29,2013,-0.0210362013874
68,29,2014,-0.0258066225797
68,29,2015,-0.0302194051161
68,29,2016,-0.0342445995814
68,30,2000,0.0354833875895
68,30,2001,0.0310697075368
68,30,2002,0.0267695453187
68,30,2003,0.0225796982149
68,30,2004,0.0185176448949
68,30,2005,0.0145900978467
68,30,2006,0.0107849482944
68,30,2007,0.00712013301775
68,30,2008,0.00351950964967
68,30,2009,0.0
68,30,2010,-0.00342035813926
68,30,2011,-0.00674997848209
68,30,2012,-0.00994532272768
68,30,2013,-0.0129757127884
68,30,2014,-0.0158074577048
68,30,2015,-0.0183810202662
68,30,2016,-0.0206918962527
69,28,2000,0.00196271565644
69,28,2001,0.00173448140812
69,28,2002,0.00151238499955
69,28,2003,0.00129609875902
69,28,2004,0.00108583034353
69,28,2005,0.000882994872674
69,28,2006,0.000689201336481
69,28,2007,0.000505308495448
69,28,2008,0.000333920879637
69,28,2009,0.0
69,28,2010,-0.00224287137957
69,28,2011,-0.00629916251209
69,28,2012,-0.0114720027816
69,28,2013,-0.0172837704157
69,28,2014,-0.022969222142
69,28,2015,-0.0285476821506
69,28,2016,-0.0339762916373
69,29,2000,0.0254692362605
69,29,2001,0.0223137883626
69,29,2002,0.019242407882
69,29,2003,0.0162478207075
69,29,2004,0.0133273310189
69,29,2005,0.0104910654913
69,29,2006,0.00774635331391
69,29,2007,0.00508244420068
69,29,2008,0.00250277261168
69,29,2009,0.0
69,29,2010,-0.00241867203734
69,29,2011,-0.00475495865574
69,29,2012,-0.00697897851753
69,29,2013,-0.00907243027397
69,29,2014,-0.0110166761094
69,29,2015,-0.0127755916523
69,29,2016,-0.0143407847468
69,30,2000,-0.0145573886755
69,30,2001,-0.0127773554049
69,30,2002,-0.0110445604799
69,30,2003,-0.0093542501423
69,30,2004,-0.0077035684419
69,30,2005,-0.00609595250193
69,30,2006,-0.0045319445072
69,30,2007,-0.00300004920102
69,30,2008,-0.00149439234447
69,30,2009,0.0
69,30,2010,0.00149339131853
69,30,2011,0.00300518348205
69,30,2012,0.00454085246476
69,30,2013,0.00611673681575
69,30,2014,0.00775317623703
69,30,2015,0.0094634404631
69,30,2016,0.0112799401038
