us,state,county,time zone,egrid,egrid_agg,egrid with wecc detail,nerc,census division,census region,PADD,electricity interconnection,o&g producing region,IECC Climate Zone,IECC Climate Zone by state,electric utility territory,north america,CA building climate zone,CA forecast climate zone,gas utility territory,VISION Region,SqMi,pop_x_transit_share,Urban Utility-scale PV (GWh),Rural Utility-scale PV (GWh),Sum Utility-scale PV (GWh),Rooftop PV (GWh),CSP (GWh),Onshore Wind (GWh),Offshore Wind (GWh),Biopower-Solid (GWh),Biopower-Solid (BDT),Biopower-Gaseous (GWh),Biopower-Gaseous (Tonnes-CH4),Geothermal Hydrothermal (GWh),EGS Geothermal (GWh),Hydropower (GWh),Hydropower (Count of Sites),CDD_res_sq_ft,HDD_res_sq_ft,CDD_com_sq_ft,HDD_com_sq_ft,SEDS Industrial Data (Allocation),Rail Fuel Use,Aviation Fuel Use,Marine Fuel Use,BUSES VMT Share,HDV VMT Share,LDV VMT Share,MDV VMT Share,BOM VOS,Bulk Chemicals VOS,Computer and Electronic Products VOS,Electrical Equipment VOS,Fabricated Metal Products VOS,Food and Kindred Products VOS,Glass and Cement VOS,Iron and Steel and Aluminum Manufacturing VOS,Machinery VOS,Paper and Allied Products VOS,Plastic and Rubber Products VOS,Transportation Equipment VOS,Wood Products VOS,Military Fuel Sales - Diesel Fule,Steel Production Facility GHGs,Domestic Shipping Ton-Miles Allocation,2015 Capacity Biomass Power Plants,2015 Capacity Bulk Electricity Storage,2015 Capacity Coal Power Plants,2015 Capacity Combined Heat and Power,2015 Capacity Combined-Cycle Gas Turbines,2015 Capacity Combustion Turbines,2015 Capacity Dispatchable Hydroelectric Power Plants,2015 Capacity Fossil Steam Turbines,2015 Capacity Fuel Cell Power Plants,2015 Capacity Geothermal Power Plants,2015 Capacity Nuclear Power Plants,2015 Capacity Onshore Wind,2015 Capacity Run of River Hydroelectric Power Plants,2015 Capacity Solar Thermal Power Plants,2015 Capacity Transmission-Sited Solar PV,Households 2010 (complete count),Employment in construction (NAICS 23) 2007,Employment in manufacturing (NAICS 31-33) 2007,Employment in mining (NAICS 21) 2006,"Employment in farming (NAICS, no code) 2007",Cropland - harvested cropland (NAICS) 2007 (acres) (adjusted),"Farm earnings (NAICS, no code) 2007","Earnings in agriculture, forestry, fishing, and hunting (NAICS 11) 2007",Earnings in mining (NAICS 21) 2007,Earnings in utilities (NAICS 22) 2007,Earnings in construction (NAICS 23) 2007,Earnings in manufacturing (NAICS 31-33) 2007,Earnings in wholesale trade (NAICS 42) 2007,Earnings in retail trade (NAICS 44-45) 2007,Earnings in transportation and warehousing (NAICS 48-49) 2007,"Employment in all industries (NAICS, no code) 2007",Employment in utilities (NAICS 22) 2007,Employment in transportation and warehousing (NAICS 48-49) 2007,Total housing units 2010 (complete count),Vacant housing units 2010 (complete count),Owner-occupied housing units 2010 (complete count),Renter-occupied housing units 2010 (complete count),Resident population (April 1 - complete count) 2010,"Public supply water use: population served, total 2005",Irrigation water use: total withdrawals 2005,Thermoelectric power water use: total self-supplied withdrawals 2005
us,alabama,"chambers, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,598.9982606,0,242.7300268,43017.61906,43260.34909,116.0005374,0,3.284196102,0,129.8940176,118090.2802,17.79036263,3785.378353,0,6214.325692,47.61504102,28.2580124,41272540703,66253912155,10766228310,17282792205,4580.769568,2.28594E+11,51142447.87,1.67967E+11,0.018711741,0.01625779,0.015834334,0.01606558,551363.3715,1395370.012,271271.1713,156248.267,429546.2039,462777.2314,116260.7897,631075.9226,384144.4731,283714.9009,349957.6408,1237227.531,335296.7237,7770.045423,12659.21968,51821925.72,0,0,0,0,0,0,0,0,0,0,0,0,0.198777236,0,0,13847.81612,1113.152519,3080.053266,0,380.6584062,8001.777619,1192.663414,11414.78275,0,5802.307507,19548.74723,138122.3499,9894.136902,41970.81941,11725.86913,14445.14171,77.52312188,322.0191217,16900.04057,3052.224453,9782.82165,4064.994468,34005.81558,26.65602729,0.218654959,0
us,alabama,"chambers, alabama",US/Eastern,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,3.684696331,0,0.876439887,264.6199055,265.4963454,0.419942598,0,0.020202505,0,0.799034056,726.4241834,0.109436184,23.28549288,0,38.22699427,0.292900628,0.173827207,149413945.6,239850958,38975663.32,62566784.84,28.17828687,1406179064,314599.2275,1033235921,0.000115104,0.000100009,9.74E-05,9.88E-05,3391.673608,8583.522026,1668.70583,961.1503973,2642.323735,2846.742101,715.170199,3882.019848,2363.038131,1745.252571,2152.7402,7610.7195,2062.554583,47.79689649,77.87231343,318778.9884,0,0,0,0,0,0,0,0,0,0,0,0,0.001222764,0,0,85.18388215,6.847480658,18.94673443,0,2.341593832,49.22238105,7.33658642,70.21724586,0,35.69249293,120.2527652,849.6500733,60.86309817,258.1805899,72.13087215,88.85828919,0.476878117,1.980878333,103.9594296,18.77554741,60.17835011,25.00553205,209.1844203,0.163972706,0.001345041,0
us,alabama,"cherokee, alabama",US/Central,SRTV (SRCE),SR_agg,SRTV (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,610.3149652,0,194.109524,43830.33877,44024.44829,116.2690253,0,3.34624349,0,132.3480685,120321.3265,18.12647092,3856.894435,0,6331.731188,48.51461851,28.79188303,30380179984,55020076406,6380980961,11556286376,1609.642836,0.001953162,4.36E-07,0.00143557,0.01435829,0.012475273,0.012150337,0.012327782,423083.8376,490320.9623,95322.34503,54904.29059,150938.8236,162615.9194,40853.03669,221754.6249,134985.0477,99694.96409,122972.0904,434751.0612,117820.3708,5962.27607,4448.340383,4.42E-07,0,0,0,0,0,0,74.1,0,0,0,0,0,0,0,0,10626,725,1221,0,818,44402,13055,0,0,0,10707,48535,10711,28379,0,8889,0,0,16267,5641,8345,2281,25989,16.87,2.62,0
us,alabama,"chilton, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,710.087465,0,330.3594082,50995.59395,51325.95335,138.2506108,0,3.893277557,0,153.9839424,139991.1039,21.0897332,4487.408221,0,7366.824025,56.445646,33.49869559,56715927805,87210969692,10874081879,16720862409,2556.657385,0.001953162,4.36E-07,0.00143557,0.022373853,0.019439635,0.018933303,0.019209807,659271.8034,778795.5699,151404.1327,87206.58826,239741.9163,258289.095,64888.44335,352221.3667,214401.923,158349.331,195321.2825,690531.767,187138.609,9290.736605,7065.469457,4.42E-07,0,0,0,0,0,0,178.8,0,0,0,0,0,0,0,0,16558,1573,1761,0,759,14957,5075,0,0,0,40258,77090,19837,46594,0,13626,0,0,19278,2720,12678,3880,43643,32.84,0.64,0
us,alabama,"choctaw, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,906.7713865,0,100.3596708,65120.63331,65220.99298,50.00759071,0,4.971658933,0,196.6352595,178766.6078,26.9312832,5730.355167,0,9407.327357,72.08027068,42.77734806,20792289017,20570889643,5156552986,5101645246,4303.900058,1.65E+11,36798025.63,1.21E+11,0.007926381,0.006886876,0.006707498,0.006805455,233560.1159,1311031.473,254875.0799,146804.3558,403583.7002,434806.1878,109233.7897,592932.6196,360926.1272,266566.6894,328805.6053,1162447.393,315030.819,3291.427765,11894.07489,37286923.69,0,0,0,72.8,0,0,0,0,0,0,0,0,0,0,0,5866,328,1345,18,245,5535,919,14405,1320,0,9339,129774,0,13253,8437,5597,0,217,7269,1403,4866,1000,13859,6.08,0.06,0
us,alabama,"clarke, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,1251.711182,0,187.6530835,89892.80662,90080.4597,88.29121019,0,6.862899703,0,271.436171,246770.2062,37.17606094,7910.207299,0,12985.91577,99.49992043,59.05003808,38756562674,38343877053,12734299693,12598702983,3921.810945,3.59E+11,80208094.27,2.64E+11,0.013967781,0.012135977,0.011819879,0.011992498,411577.0402,1194641.491,232247.9297,133771.4448,367754.5833,396205.2193,99536.29643,540293.5955,328884.0394,242901.5883,299615.0943,1059248.321,287063.1979,5800.117423,10838.14969,81273737.89,0,0,0,17.8,0,0,0,0,0,0,0,0,0,0,0,10337,799,2274,22,291,6988,-194,24660,792,5691,18431,118253,10018,46260,18390,13822,80,452,12638,2301,7996,2341,25833,19.97,0.08,0
us,alabama,"clay, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,610.2877248,0,103.2300114,43828.38247,43931.61248,47.90099341,0,3.346094136,0,132.3421613,120315.9561,18.12566187,3856.722289,0,6331.448582,48.51245314,28.79059795,16866598631,27075584032,5230123156,8395802978,2983.319692,1.25E+11,27887468.99,91790328227,0.007661538,0.006656766,0.006483381,0.006578065,225756.1979,908763.2052,176670.888,101759.8735,279750.734,301393.119,75717.21263,411001.0772,250181.9299,184775.1209,227917.0576,805769.6861,218368.836,3181.451658,8244.575237,28257981.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5670,428,2475,10,497,7866,17058,8259,0,0,6363,89955,0,8818,6394,7035,0,221,6776,1106,4266,1404,13932,6.36,0.11,0
us,alabama,"cleburne, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,494.0966124,0,107.2178129,35484.00931,35591.22712,45.46394948,0,2.709039868,0,107.1458772,97409.31028,14.67476366,3122.450838,0,5126.020349,39.27629179,23.30922996,17507952011,28105134668,3372231547,5413369976,724.808415,89941544041,20151453.33,66327586630,0.007159493,0.006220561,0.006058539,0.006147018,210962.8506,220787.3397,42922.83747,24722.93292,67966.46253,73224.55902,18395.77334,99854.21279,60782.6136,44891.79047,55373.28154,195764.6881,53053.50624,2972.97756,2003.049665,20419185.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5298.456359,714.1358597,487.4831687,0,378.6539004,5161.745212,30707.84197,0,0,0,22712.93812,21854.89579,0,13245.69119,4620.297117,4223.654908,0,109.7286837,6042.272929,743.8165692,4103.133239,1195.32312,13466.04797,5.702293892,0.053964926,0
us,alabama,"cleburne, alabama",US/Central,SRTV (SRCE),SR_agg,SRTV (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,55.25643426,0,3.301256908,3968.292391,3971.593648,1.604043039,0,0.302960756,0,11.9824726,10893.60059,1.641126641,349.1938523,0,573.2595596,4.392395699,2.606747143,617709391,991595453.9,118977884.7,190992611.2,81.05768696,10058455959,2253602.692,7417630152,0.000800669,0.000695666,0.000677546,0.000687441,23592.66304,24691.36767,4800.200786,2764.846152,7600.910985,8188.94105,2057.259278,11167.02201,6797.517749,5020.395216,6192.574518,21893.003,5933.146487,332.4777685,224.0075713,2283544.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.5436406,79.86414032,54.5168313,0,42.34609959,577.2547875,3434.158034,0,0,0,2540.061883,2444.104214,0,1481.308809,516.7028826,472.3450919,0,12.27131627,675.7270714,83.18343078,458.8667609,133.6768797,1505.952026,0.637706108,0.006035074,0
us,alabama,"coffee, alabama",US/Central,SRSO (SRSE),SR_agg,SRSO (egrid with wecc detail),SERC_STV,east south central,south,PADD 3 (Gulf Coast),eastern interconnection,gulf coast (o&g producing region),3A,Alabama 3A,unspecified utility,us (north america),unspecified building climate zone,unspecified forecast climate zone,unspecified gas utility,unspecified VISION Region,689.2891482,0,383.194126,49501.94342,49885.13754,162.0427685,0,3.779244253,0,149.4737842,135890.7931,20.47201922,4355.972951,0,7151.051254,54.79236456,32.51752564,74935655669,74137729706,21054619511,20830426804,3436.745815,2.97E+11,66277444.29,2.18E+11,0.026820788,0.023303377,0.022696408,0.023027869,790305.9563,1046883.494,203522.5847,117226.062,322269.2381,347200.9865,87225.25255,473467.941,288206.3571,212858.5566,262557.5112,928236.2877,251558.0832,11137.32521,9497.644357,67158005.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19849,1505,3158,10,1010,51372,35797,16292,0,7051,28260,103627,15696,81313,15196,22853,96,485,22330,2481,13394,6455,49948,37.58,3.46,0
