supply_tech_id,gau,oth_1,resource_bin,vintage,value,id
2,mountain,,2.0,2015,0.0,186
2,mountain,,3.0,2015,0.0,187
2,mountain,,4.0,2015,0.0,188
2,mountain,,5.0,2015,0.0,189
35,mountain,,1.0,2015,0.244,190
35,mountain,,2.0,2015,0.243,191
35,mountain,,3.0,2015,0.2355,192
35,mountain,,4.0,2015,0.2407,193
35,mountain,,5.0,2015,0.2226,194
38,mountain,,1.0,2015,0.3153,195
38,mountain,,2.0,2015,0.303,196
38,mountain,,3.0,2015,0.3091,197
38,mountain,,4.0,2015,0.3045,198
38,mountain,,5.0,2015,0.2622,199
1,pacific,,1.0,2015,0.2652,200
1,pacific,,2.0,2015,0.265,201
1,pacific,,3.0,2015,0.2644,202
1,pacific,,4.0,2015,0.2803,203
1,pacific,,5.0,2015,0.2666,204
2,pacific,,1.0,2015,0.294,205
2,pacific,,2.0,2015,0.2914,206
2,pacific,,3.0,2015,0.2861,207
2,pacific,,4.0,2015,0.2944,208
2,pacific,,5.0,2015,0.2918,209
35,pacific,,1.0,2015,0.2283,210
35,pacific,,2.0,2015,0.2303,211
35,pacific,,3.0,2015,0.2339,212
35,pacific,,4.0,2015,0.2231,213
35,pacific,,5.0,2015,0.2153,214
38,pacific,,1.0,2015,0.2951,215
38,pacific,,2.0,2015,0.2743,216
38,pacific,,3.0,2015,0.2843,217
38,pacific,,4.0,2015,0.2804,218
38,pacific,,5.0,2015,0.2374,219
56,us,,,2015,0.35,220
77,us,,,2015,0.5,221
37,us,,,2015,0.9,222
34,new england,,,2015,0.137269,223
34,middle atlantic,,,2015,0.137324,224
34,east north central,,,2015,0.139992,225
34,west north central,,,2015,0.154665,226
34,south atlantic,,,2015,0.165197,227
34,east south central,,,2015,0.159525,228
34,west south central,,,2015,0.177,229
34,mountain,,,2015,0.187325,230
34,pacific,,,2015,0.183009,231
3,us,,,2015,0.7,232
4,us,,,2015,0.25,233
33,mountain,,,2015,0.187325,234
33,south atlantic,,,2015,0.165197,235
33,middle atlantic,,,2015,0.137324,236
33,pacific,,,2015,0.183009,237
33,new england,,,2015,0.137269,238
33,west south central,,,2015,0.177,239
33,east south central,,,2015,0.159525,240
33,east north central,,,2015,0.139992,241
33,west north central,,,2015,0.154665,242
81,us,,,2015,0.9,262
82,us,,,2015,0.9,263
36,us,,,2015,0.7,264
26,alaska,,,2015,0.39467,373
26,alabama,,,2015,0.32401,374
26,arkansas,,,2015,0.25914,375
26,arizona,,,2015,0.29184,376
26,california,,,2015,0.3519,377
26,colorado,,,2015,0.27435,378
26,connecticut,,,2015,0.38097,379
26,florida,,,2015,0.43892,380
26,georgia,,,2015,0.16755,381
26,hawaii,,,2015,0.45247,382
26,iowa,,,2015,0.72233,383
26,idaho,,,2015,0.42345,384
26,illinois,,,2015,0.48113,385
26,indiana,,,2015,0.84879,386
26,kansas,,,2015,0.50071,387
26,kentucky,,,2015,0.41985,388
26,louisiana,,,2015,0.562,389
26,massachusetts,,,2015,0.45177,390
26,maryland,,,2015,0.37653,391
26,maine,,,2015,0.57467,392
26,michigan,,,2015,0.62864,393
26,minnesota,,,2015,0.44281,394
26,missouri,,,2015,0.23754,395
26,montana,,,2015,0.41405,396
26,north carolina,,,2015,0.26501,397
26,north dakota,,,2015,0.41583,398
26,nebraska,,,2015,0.44593,399
26,new hampshire,,,2015,0.32309,400
26,new jersey,,,2015,0.51182,401
26,new mexico,,,2015,0.28709,402
26,nevada,,,2015,0.23294,403
26,new york,,,2015,0.68086,404
26,ohio,,,2015,0.49892,405
26,oklahoma,,,2015,0.31318,406
26,oregon,,,2015,0.45699,407
26,pennsylvania,,,2015,0.38147,408
26,rhode island,,,2015,0.1694,409
26,south carolina,,,2015,0.18058,410
26,south dakota,,,2015,0.31008,411
26,tennessee,,,2015,0.3876,412
26,texas,,,2015,0.16335,413
26,utah,,,2015,0.29476,414
26,virginia,,,2015,0.19314,415
26,vermont,,,2015,0.44178,416
26,washington,,,2015,0.40985,417
26,wisconsin,,,2015,0.47042,418
26,west virginia,,,2015,0.60517,419
26,wyoming,,,2015,0.3091,420
27,alaska,,,2015,0.39467,421
27,alabama,,,2015,0.32401,422
27,arkansas,,,2015,0.25914,423
27,arizona,,,2015,0.29184,424
27,california,,,2015,0.3519,425
27,colorado,,,2015,0.27435,426
27,connecticut,,,2015,0.38097,427
27,florida,,,2015,0.43892,428
27,georgia,,,2015,0.16755,429
27,hawaii,,,2015,0.45247,430
27,iowa,,,2015,0.72233,431
27,idaho,,,2015,0.42345,432
27,illinois,,,2015,0.48113,433
27,indiana,,,2015,0.84879,434
27,kansas,,,2015,0.50071,435
27,kentucky,,,2015,0.41985,436
27,louisiana,,,2015,0.562,437
27,massachusetts,,,2015,0.45177,438
27,maryland,,,2015,0.37653,439
27,maine,,,2015,0.57467,440
27,michigan,,,2015,0.62864,441
27,minnesota,,,2015,0.44281,442
27,missouri,,,2015,0.23754,443
27,montana,,,2015,0.41405,444
27,north carolina,,,2015,0.26501,445
27,north dakota,,,2015,0.41583,446
27,nebraska,,,2015,0.44593,447
27,new hampshire,,,2015,0.32309,448
27,new jersey,,,2015,0.51182,449
27,new mexico,,,2015,0.28709,450
27,nevada,,,2015,0.23294,451
27,new york,,,2015,0.68086,452
27,ohio,,,2015,0.49892,453
27,oklahoma,,,2015,0.31318,454
27,oregon,,,2015,0.45699,455
27,pennsylvania,,,2015,0.38147,456
27,rhode island,,,2015,0.1694,457
27,south carolina,,,2015,0.18058,458
27,south dakota,,,2015,0.31008,459
27,tennessee,,,2015,0.3876,460
27,texas,,,2015,0.16335,461
27,utah,,,2015,0.29476,462
27,virginia,,,2015,0.19314,463
27,vermont,,,2015,0.44178,464
27,washington,,,2015,0.40985,465
27,wisconsin,,,2015,0.47042,466
27,west virginia,,,2015,0.60517,467
27,wyoming,,,2015,0.3091,468
3,new york,,,2015,0.22,469
39,new york,,,2015,0.22,470
78,us,,,2015,0.715,500
3,NWPP (egrid with wecc detail),,,2015,0.7,539
39,NWPP (egrid with wecc detail),,,2015,0.7,540
67,NWPP (egrid with wecc detail),,,2015,0.7,541
174,us,,,2015,0.22,542
49,us,,,2015,0.7,593
50,us,,,2015,0.7,594
175,new york,,,2015,0.8,1000
30,us,,,2015,0.25,9
3,vermont,,,2015,0.22,1305
3,rhode island,,,2015,0.22,1306
41,us,,,2015,0.25,1001
45,us,,,2015,0.25,1004
175,us,,,2015,0.63,1101
3,connecticut,,,2015,0.22,1304
44,us,,,2015,0.25,1003
3,maine,,,2015,0.22,1301
43,us,,,2015,0.25,1002
3,massachusetts,,,2015,0.22,1303
3,new hampshire,,,2015,0.22,1302
