linked,stock_link_ratio,subsector,name,min_lifetime,max_lifetime,source,additional_description,demand_tech_unit_type,unit,time_unit,cost_of_capital,stock_decay_function,mean_lifetime,lifetime_variance,shape,max_lead_hours,max_lag_hours
,,residential water heating,High Efficiency Electric Resistance Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,13.0,,,,
Reference Geothermal Heat Pump - Cooling,1.0,residential space heating,Reference Geothermal Heat Pump - Heating,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,20.0,,high_efficiency_heat_pump_heating_res,,
High Efficiency Geothermal Heat Pump - Cooling,1.0,residential space heating,High Efficiency Geothermal Heat Pump - Heating,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,20.0,,high_efficiency_heat_pump_heating_res,,
,,residential water heating,Reference Instantaneous Gas Water Heater,8.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,19.0,,,,
High Efficiency Air Source Heat Pump - Cooling,1.0,residential space heating,High Efficiency Air Source Heat Pump - Heating,9.0,22.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,,,high_efficiency_heat_pump_heating_res,,
,,residential water heating,High Efficiency Electric Heat Pump Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,,,,,
,,residential water heating,High Efficiency Instantaneous Gas Water Heater,8.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,19.0,,,,
,,light duty autos,Autonomous Electric Light-Duty Auto,2.0,4.0,,,equipment,car,,,weibull,,,,,
,,residential refrigeration,Reference Top Mount Refrigerator,7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,High Efficiency Top Mount Refrigerator,7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,Reference Bottom Mount Refrigerator,7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,High Efficiency Bottom Mount Refrigerator,7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,Reference Side Mount Refrigerator,7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,High Efficiency Side Mount Refrigerator,7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential freezing,Reference Upright Freezer,11.0,31.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential freezing,High Efficiency Upright Freezer,11.0,31.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential freezing,Reference Chest Freezer,11.0,31.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential freezing,High Efficiency Chest Freezer,11.0,31.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential cooking,Reference Gas Cooktop/Stove,16.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,cooktop/stove,,,weibull,,,,,
,,residential cooking,Electric Cooktop/Stove,16.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,cooktop/stove,,,weibull,,,,,
,,residential cooking,High Efficiency Gas Cooktop/Stove,16.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,cooktop/stove,,,weibull,,,,,
,,residential clothes washing,Reference Clothes Washer - Front Loading,11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes washer,,,weibull,,,,,
,,residential clothes washing,High Efficiency Clothes Washer - Front Loading,11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes washer,,,weibull,,,,,
,,residential clothes washing,Reference Clothes Washer - Top Loading,11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes washer,,,weibull,,,,,
,,residential clothes washing,High Efficiency Clothes Washer - Top Loading,11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes washer,,,weibull,,,,,
,,residential clothes drying,Reference Electric Clothes Dryer,11.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes dryer,,,weibull,,,,,
,,residential clothes drying,High Efficiency Electric Clothes Dryer,11.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes dryer,,,weibull,,,,,
,,residential clothes drying,Reference Gas Clothes Dryer,11.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes dryer,,,weibull,,,,,
,,residential clothes drying,High Efficiency Gas Clothes Dryer,11.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes dryer,,,weibull,,,,,
,,residential dishwashing,Reference Dishwasher,11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,dishwasher,,,weibull,,,,,
,,residential dishwashing,High Efficiency Dishwasher,11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,dishwasher,,,weibull,,,,,
Reference Natural Gas Heat Pump  - Cooling,1.0,residential space heating,Reference Natural Gas Heat Pump  - Heating,7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,space heater,,,weibull,15.0,,,,
,,residential air conditioning,Reference Natural Gas Heat Pump  - Cooling,7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,15.0,,,,
,,residential air conditioning,High Efficiency Central Air Conditioner,7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,14.0,,high_efficiency_central_ac_res,,
,,residential air conditioning,Reference Room Air Conditioner,8.0,16.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,18.0,,reference_room_ac_res,,
,,residential air conditioning,High Efficiency Geothermal Heat Pump - Cooling,7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,20.0,,high_efficiency_heat_pump_cooling_res,,
,,residential air conditioning,Reference Geothermal Heat Pump - Cooling,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,14.0,,high_efficiency_heat_pump_cooling_res,,
,,residential air conditioning,High Efficiency Room Air Conditioner,8.0,16.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,18.0,,high_efficiency_room_ac_res,,
,,commercial water heating,Reference Commercial Electric Booster Water Heater,6.5,6.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”.,,service demand,kiloBtu,hour,,weibull,6.5,,,,
,,residential cooking,Reference LPG Cooktop/Stove,16.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,cooktop/stove,,,weibull,,,,,
,,residential air conditioning,High Efficiency Air Source Heat Pump - Cooling,9.0,22.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,,,high_efficiency_heat_pump_cooling_res,,
,,residential lighting,Incandescent Reflector,0.85,2.55,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,CFL Reflector,7.85,23.55,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,Halogen Reflector,2.95,8.85,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,LED Reflector,24.45,73.35,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,T-12 Linear Fluorescent,23.5,70.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,T-8 Linear Fluorescent,23.5,70.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,LED Linear Fluorescent,48.9,146.7,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,LED Exterior,24.75,74.25,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,HID Exterior,16.45,49.35,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,CFL Exterior,5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,residential lighting,Incandescent Exterior,1.05,3.15,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmlgt.xt”,,equipment,bulb,,,weibull,,,,,
,,commercial space heating,Reference Commercial Gas Furnace,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,High Efficiency Commercial Gas Furnace,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,Reference Commercial Distillate Furnace,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,Reference Commercial Gas Boiler,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,High Efficiency Commercial Gas Boiler,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,Reference Commercial Distillate Boiler,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,High Efficiency Commercial Distillate Boiler,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,Reference Commercial Gas Heat Pump - Cooling,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial space heating,Electric Resistance Heat,9.0,27.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,Reference Commercial Ground Source Heat Pump -Cooling,12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,Reference Scroll Chiller,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,High Efficiency Scroll Chiller,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Screw Chiller,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,High Efficiency Screw Chiller,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Commercial Central Air Conditioner,9.0,27.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,High Efficiency Commercial Central Air Conditioner,9.0,27.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,Reference Gas-Driven AC,12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
High Efficiency Commercial Air Source Heat Pump - Cooling,1.0,commercial space heating,High Efficiency Commercial Air Source Heat Pump - Heating,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,High Efficiency Commercial Air Source Heat Pump - Cooling,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,Industrial curing,Industrial UV curing,20.0,40.0,,Updated on 9/15/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
Reference Commercial Ground Source Heat Pump -Cooling,1.0,commercial space heating,Reference Commercial Ground Source Heat Pump - Heating,12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
High Efficiency Commercial Ground Source Heat Pump - Cooling,1.0,commercial space heating,High Efficiency Commercial Ground Source Heat Pump - Heating,12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
Reference Commercial Air Source Heat Pump - Cooling,1.0,commercial space heating,Reference Commercial Air Source Heat Pump - Heating,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial ventilation,Reference Constant Air Commercial Ventilation System,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilocubic_foot,minute,,weibull,,,,,
,,commercial ventilation,High Efficiency Constant Air Commercial Ventilation System,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilocubic_foot,minute,,weibull,,,,,
,,commercial ventilation,Reference Variable Air Commercial Ventilation System,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilocubic_foot,minute,,weibull,,,,,
,,commercial ventilation,High Efficiency Variable Air Commercial Ventilation System,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilocubic_foot,minute,,weibull,,,,,
,,commercial cooking,"Range, Electric, 4 burner, oven, 11"" griddle",5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial cooking,"Range, Electric-induction, 4 burner, oven, 11"" griddle",5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial cooking,"Range, Gas, 4 burner, oven, 11"" griddle",5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial cooking,"Range, Gas, 4 powered burners, convect. oven, 11"" griddle",5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,light duty trucks,Electric Light-Duty Truck - 300 mile range,10.0,20.0,NREL ADOPT Model,Updated on 2017-04-21 as part of the NREL project,equipment,truck,,,weibull,,,,,
,,commercial air conditioning,High Efficiency Reciprocating Chiller,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Centrifugal Chiller,12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,High Efficiency Centrifugal Chiller,12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Commercial Gas Absorption Chiller,11.5,34.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,chiller_com,,
,,commercial air conditioning,Reference Wall/Room Air Conditioner,4.75,14.25,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,reference_room_ac_res,,
,,commercial air conditioning,High Efficiency Wall/Room Air Conditioner,4.75,14.25,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,high_efficiency_room_ac_res,,
,,commercial air conditioning,Reference Rooftop Air Conditioner,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,reference_central_ac_res,,
,,commercial air conditioning,High Efficiency Rooftop Air Conditioner,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,high_efficiency_central_ac_res,,
,,commercial refrigeration,Reference Supermarket Display Cases,5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Supermarket Display Cases,5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Compressor Rack Systems,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Compressor Rack Systems,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Condensers,5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Condensers,5.0,15.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Walk-in Refrigerators,5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Walk-in Refrigerators,5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Walk-in Freezers,5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Walk-in Freezers,5.5,16.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Reach-in Refrigerators,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Reach-in Refrigerators,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Reach-in Freezers,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,High Efficiency Commercial Reach-in Freezers,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial refrigeration,Reference Commercial Ice-Machines,4.25,12.75,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
